state,D_full,rank
KS,-62.93586336342781,1
CA,-56.47296428010987,2
OK,-45.7016558022959,3
NV,-38.845626676235106,4
NE,-31.996624979080405,5
VT,-21.574114858693825,6
MI,-19.7767748703807,7
HI,-13.965637514438079,8
NC,-13.25970354607657,9
ME,-12.537948954228542,10
RI,-11.521669059881907,11
MA,-10.58451738306325,12
AK,-10.5149368084579,13
AZ,-10.043197529328308,14
NM,-6.875885114476672,15
DC,-5.333656472058154,16
LA,-3.970857108056718,17
NH,-2.463274050132879,18
CT,-1.805916622261146,19
DE,-0.44978617913244145,20
OH,0.20222965585829436,21
MD,0.9861194173210738,22
GA,1.1866754959070043,23
UT,1.287285499155096,24
TN,2.2658751326639557,25
SC,3.7038511873641875,26
MT,4.234509508465381,27
AL,4.410023313724753,28
NY,4.5109618473095265,29
PA,5.624775672465662,30
TX,6.159102780254217,31
VA,6.475166805652418,32
KY,6.615808126433947,33
FL,7.632895856549669,34
MS,9.699693059682739,35
WV,9.796252409501571,36
NJ,10.8988696161134,37
AR,12.493902183369757,38
IL,15.953619525467948,39
ND,17.724796586093703,40
IN,20.483283720173784,41
MN,26.404152305355943,42
WI,31.191581111341403,43
IA,33.826672888344845,44
MO,35.73066085017364,45
CO,36.31610636218521,46
WA,40.74056498513222,47
OR,46.12265495764077,48
ID,51.903179592451096,49
WY,82.79757100385038,50
SD,188.38763827594013,51
