sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,1.5,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.725,nan,nan,nan,nan,nan,0.7667224553927023,0.007246337953934108,0.008576825768681023,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.663,nan,nan,nan,nan,nan,0.7667224553927023,0.1280962429688865,0.12403833730019093,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.751,nan,nan,nan,nan,nan,0.7728772747565975,0.031727813236998165,0.02723213679983437,2.306004135204166
restricted,49,0.25,1.5,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.749,nan,nan,nan,nan,nan,0.7728772747565975,0.0018329317388678774,0.12821971233269375,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,Aggregate Shock,SIV,1000,0.854,0.00857682576868103,0.03726061343591475,0.05685408320428166,0.036591750058272636,0.056231546515782646,0.7667224553927023,0.007246337953934108,0.008576825768681023,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,Aggregate Shock,TSLS,1000,0.759,0.12403833730019159,0.41595378478164524,1.9739908713631131,7.468294345377699,1.9710757445353035,0.7667224553927023,0.1280962429688865,0.12403833730019093,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,Basic,SIV,1000,0.902,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.020860600571561094,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,Basic,TSLS,1000,0.9,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.019240458924124126,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,GFE,SIV,1000,0.884,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.056263926913116394,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,GFE,TSLS,1000,0.849,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.37484053615457924,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.85,0.027232136799834373,0.12616209116795327,0.1998265184504549,0.13036860170888073,0.1980612947494359,0.7728772747565975,0.031727813236998165,0.02723213679983437,2.306004135204166
restricted,49,0.25,1.5,ARIMA-Z,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.825,0.12821971233269497,1.3917840949589244,15.842011818871637,320.51154302186137,15.84941961956068,0.7728772747565975,0.0018329317388678774,0.12821971233269375,2.306004135204166
restricted,49,0.25,1.5,HAC,finite_length,5,10,Aggregate Shock,SIV,1000,0.747,0.00857682576868103,0.03726061343591475,0.05685408320428166,0.029053116623419476,0.056231546515782646,0.7667224553927023,0.007246337953934108,0.008576825768681023,1.9599639845400536
restricted,49,0.25,1.5,HAC,finite_length,5,10,Aggregate Shock,TSLS,1000,0.646,0.12403833730019159,0.41595378478164524,1.9739908713631131,7.093119472774092,1.9710757445353035,0.7667224553927023,0.1280962429688865,0.12403833730019093,1.9599639845400536
restricted,49,0.25,1.5,HAC,finite_length,5,10,Basic,SIV,1000,0.835,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.017665704016748593,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,1.9599639845400536
restricted,49,0.25,1.5,HAC,finite_length,5,10,Basic,TSLS,1000,0.824,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.01661694248207269,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,1.9599639845400536
restricted,49,0.25,1.5,HAC,finite_length,5,10,GFE,SIV,1000,0.785,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.043146547412414395,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,1.9599639845400536
