branch,calibration_scope,variant,family,method,n,mean_bias,mean_abs_error,median_abs_error,rmse,tau_mc_sd,mean_se,median_se,mean_se_over_tau_mc_sd,target_containment,containment_mcse,pi_q10,pi_median,pi_q90
Aggregate Shock,shock_active_containment,robust_full_empirical,Robust SIV,AR,5000,0.010897095899263454,0.03518199526671733,0.023392792655963,0.056404852897491246,0.055347749782905596,nan,nan,nan,0.688,0.006552190473421846,0.9465501648944831,0.9991958942414702,1.045084781561112
Aggregate Shock,shock_active_containment,robust_full_empirical,Robust SIV,ARIMA-Z,5000,0.010897095899263454,0.03518199526671733,0.023392792655963,0.056404852897491246,0.055347749782905596,0.027235084478648513,0.0179767228832635,0.4920721182794404,0.7476,0.006143195259797624,0.9465501648944831,0.9991958942414702,1.045084781561112
Aggregate Shock,shock_active_containment,robust_full_empirical,Robust SIV,HAC,5000,0.010897095899263454,0.03518199526671733,0.023392792655963,0.056404852897491246,0.055347749782905596,0.02239474662750468,0.0174931732300214,0.40461891793876326,0.666,0.006669992503743913,0.9465501648944831,0.9991958942414702,1.045084781561112
Aggregate Shock,shock_active_containment,robust_learned_q_true_d,Robust SIV,AR,5000,0.011651971458742824,0.03748874025632395,0.02406386375123125,0.062480543837892505,0.06139058299234106,nan,nan,nan,0.6918,0.006530126491883599,0.947941366644183,1.0033194148951652,1.0658572582079315
Aggregate Shock,shock_active_containment,robust_learned_q_true_d,Robust SIV,ARIMA-Z,5000,0.011651971458742824,0.03748874025632395,0.02406386375123125,0.062480543837892505,0.06139058299234106,0.02980646923282668,0.0192720928406065,0.48552184681079286,0.7648,0.005998015671870156,0.947941366644183,1.0033194148951652,1.0658572582079315
Aggregate Shock,shock_active_containment,robust_learned_q_true_d,Robust SIV,HAC,5000,0.011651971458742824,0.03748874025632395,0.02406386375123125,0.062480543837892505,0.06139058299234106,0.02418131257788437,0.0186497367078605,0.3938928643323223,0.675,0.006623820649745885,0.947941366644183,1.0033194148951652,1.0658572582079315
Aggregate Shock,shock_active_containment,robust_population_q_full_dhat,Robust SIV,AR,5000,0.03229460161634563,0.038082545111994444,0.0314821749133593,0.04847081648179405,0.036148860353741416,nan,nan,nan,0.5912,0.00695244647588171,0.9774275376699487,0.9998982980679495,1.0216252302047475
Aggregate Shock,shock_active_containment,robust_population_q_full_dhat,Robust SIV,ARIMA-Z,5000,0.03229460161634563,0.038082545111994444,0.0314821749133593,0.04847081648179405,0.036148860353741416,0.025102958230486437,0.01941889762653065,0.6944329083914892,0.6748,0.0066248767535705905,0.9774275376699487,0.9998982980679495,1.0216252302047475
Aggregate Shock,shock_active_containment,robust_population_q_full_dhat,Robust SIV,HAC,5000,0.03229460161634563,0.038082545111994444,0.0314821749133593,0.04847081648179405,0.036148860353741416,0.020754765436673404,0.0183913290227777,0.5741471579898723,0.5804,0.006979052084631551,0.9774275376699487,0.9998982980679495,1.0216252302047475
Aggregate Shock,shock_active_containment,robust_population_true_d,Robust SIV,AR,5000,0.015771357255043823,0.02327578296518692,0.019550250847069052,0.029309495774070802,0.024706940714057987,nan,nan,nan,0.7244,0.006318934087328336,0.9702595134762335,1.0035671087107993,1.0358850822415517
Aggregate Shock,shock_active_containment,robust_population_true_d,Robust SIV,ARIMA-Z,5000,0.015771357255043823,0.02327578296518692,0.019550250847069052,0.029309495774070802,0.024706940714057987,0.02022537851762915,0.0160021306111343,0.8186112053169383,0.7804,0.0058544998078401194,0.9702595134762335,1.0035671087107993,1.0358850822415517
Aggregate Shock,shock_active_containment,robust_population_true_d,Robust SIV,HAC,5000,0.015771357255043823,0.02327578296518692,0.019550250847069052,0.029309495774070802,0.024706940714057987,0.017526243963364295,0.015555201562735401,0.7093652009045397,0.7062,0.006441763112688947,0.9702595134762335,1.0035671087107993,1.0358850822415517
Aggregate Shock,shock_active_containment,robust_reported_simulation,Robust SIV,AR,5000,0.011536207450835147,0.04521043022731951,0.02638552798634125,0.16493951496022663,0.1645520434025775,nan,nan,nan,0.6848,0.006570372287777916,0.5996998092239902,0.8738039667152437,1.0030574255835798
Aggregate Shock,shock_active_containment,robust_reported_simulation,Robust SIV,ARIMA-Z,5000,0.011536207450835147,0.04521043022731951,0.02638552798634125,0.16493951496022663,0.1645520434025775,0.08133241583228316,0.020463719746152798,0.4942656087368001,0.7508,0.006117178434539898,0.5996998092239902,0.8738039667152437,1.0030574255835798
Aggregate Shock,shock_active_containment,robust_reported_simulation,Robust SIV,HAC,5000,0.011536207450835147,0.04521043022731951,0.02638552798634125,0.16493951496022663,0.1645520434025775,0.07852581100752111,0.0200254742390982,0.4772095768838754,0.6706,0.006646738147392298,0.5996998092239902,0.8738039667152437,1.0030574255835798
Aggregate Shock,shock_active_containment,tsls_full_dhat,TSLS,AR,5000,0.47951465786013925,0.5523259773920629,0.5900418511714569,0.639033054969746,0.4224507440725765,nan,nan,nan,0.4798,0.007065294898303962,0.8191834614753529,0.9990019548637428,1.1575742111943188
Aggregate Shock,shock_active_containment,tsls_full_dhat,TSLS,ARIMA-Z,5000,0.47951465786013925,0.5523259773920629,0.5900418511714569,0.639033054969746,0.4224507440725765,0.31791585162638936,0.20717095682275466,0.7525512881373261,0.4854,0.007068052631382989,0.8191834614753529,0.9990019548637428,1.1575742111943188
Aggregate Shock,shock_active_containment,tsls_full_dhat,TSLS,HAC,5000,0.47951465786013925,0.5523259773920629,0.5900418511714569,0.639033054969746,0.4224507440725765,0.24309292128109214,0.1855720958967221,0.5754349464214201,0.3896,0.006896547542067697,0.8191834614753529,0.9990019548637428,1.1575742111943188
Aggregate Shock,shock_active_containment,tsls_learning_dhat,TSLS,AR,5000,0.5908212972907323,0.8981501503327091,0.5959217491226514,11.46814410546486,11.454060350726277,nan,nan,nan,0.4814,0.007066173504804421,0.3593442478448661,0.8150741168118374,1.1324964334205714
Aggregate Shock,shock_active_containment,tsls_learning_dhat,TSLS,ARIMA-Z,5000,0.5908212972907323,0.8981501503327091,0.5959217491226514,11.46814410546486,11.454060350726277,28.037553008558007,0.23766874821768896,2.447826547970005,0.52,0.007065408693062277,0.3593442478448661,0.8150741168118374,1.1324964334205714
Aggregate Shock,shock_active_containment,tsls_learning_dhat,TSLS,HAC,5000,0.5908212972907323,0.8981501503327091,0.5959217491226514,11.46814410546486,11.454060350726277,41.69234757389218,0.2089915913635356,3.6399622751462593,0.4234,0.00698759529452014,0.3593442478448661,0.8150741168118374,1.1324964334205714
Aggregate Shock,shock_active_containment,tsls_true_d,TSLS,AR,5000,0.5405320922757016,0.5999328767476904,0.582216710625064,0.700429446069126,0.44549540892430023,nan,nan,nan,0.4808,0.007065852531719014,0.9910332147992803,1.0748268319887773,1.1578183086537408
Aggregate Shock,shock_active_containment,tsls_true_d,TSLS,ARIMA-Z,5000,0.5405320922757016,0.5999328767476904,0.582216710625064,0.700429446069126,0.44549540892430023,0.35848772974120974,0.2725526288019696,0.804694554780754,0.5792,0.006981795757539746,0.9910332147992803,1.0748268319887773,1.1578183086537408
Aggregate Shock,shock_active_containment,tsls_true_d,TSLS,HAC,5000,0.5405320922757016,0.5999328767476904,0.582216710625064,0.700429446069126,0.44549540892430023,0.2695648321067988,0.24323917935746364,0.6050900339415259,0.454,0.007041079462696043,0.9910332147992803,1.0748268319887773,1.1578183086537408
Basic,nominal_coverage,robust_full_empirical,Robust SIV,AR,5000,-0.00023371126540138113,0.015755036928571945,0.012570668449021851,0.020694625455428044,0.020695375364974757,nan,nan,nan,0.8326,0.005279720447144905,0.9794651237477412,1.0001059200905498,1.0223569524765044
Basic,nominal_coverage,robust_full_empirical,Robust SIV,ARIMA-Z,5000,-0.00023371126540138113,0.015755036928571945,0.012570668449021851,0.020694625455428044,0.020695375364974757,0.0173354641035228,0.013795791714103799,0.837649175131685,0.8732,0.004705778575326298,0.9794651237477412,1.0001059200905498,1.0223569524765044
Basic,nominal_coverage,robust_full_empirical,Robust SIV,HAC,5000,-0.00023371126540138113,0.015755036928571945,0.012570668449021851,0.020694625455428044,0.020695375364974757,0.01561501315882547,0.0139478439607647,0.7545170301792454,0.827,0.005349224242822506,0.9794651237477412,1.0001059200905498,1.0223569524765044
Basic,nominal_coverage,robust_learned_q_true_d,Robust SIV,AR,5000,-0.0002478732710916308,0.015865537297435135,0.0125738080147432,0.020841606125427285,0.020842216396674825,nan,nan,nan,0.832,0.005287267725394658,0.9671709933503315,1.000493515501406,1.0329629834763965
Basic,nominal_coverage,robust_learned_q_true_d,Robust SIV,ARIMA-Z,5000,-0.0002478732710916308,0.015865537297435135,0.0125738080147432,0.020841606125427285,0.020842216396674825,0.017464965728450813,0.014009485959312049,0.8379610592288569,0.8692,0.004768466420139708,0.9671709933503315,1.000493515501406,1.0329629834763965
Basic,nominal_coverage,robust_learned_q_true_d,Robust SIV,HAC,5000,-0.0002478732710916308,0.015865537297435135,0.0125738080147432,0.020841606125427285,0.020842216396674825,0.015736174779555176,0.01402888615620665,0.755014461037154,0.829,0.005324640832957656,0.9671709933503315,1.000493515501406,1.0329629834763965
Basic,nominal_coverage,robust_population_q_full_dhat,Robust SIV,AR,5000,-0.0001906627547698428,0.014951612102512403,0.01186357575949765,0.019581347855083423,0.01958237793121256,nan,nan,nan,0.8322,0.005284754677371504,0.9807756904606535,1.0001594008451105,1.0204547585093804
Basic,nominal_coverage,robust_population_q_full_dhat,Robust SIV,ARIMA-Z,5000,-0.0001906627547698428,0.014951612102512403,0.01186357575949765,0.019581347855083423,0.01958237793121256,0.01623156962935866,0.01289266914962425,0.82888654719951,0.8672,0.0047992532752502235,0.9807756904606535,1.0001594008451105,1.0204547585093804
Basic,nominal_coverage,robust_population_q_full_dhat,Robust SIV,HAC,5000,-0.0001906627547698428,0.014951612102512403,0.01186357575949765,0.019581347855083423,0.01958237793121256,0.014641304488340938,0.01299804473994055,0.7476775568203087,0.825,0.00537354631505117,0.9807756904606535,1.0001594008451105,1.0204547585093804
