branch,method,candidate,reference,n,mean_tau_difference,mean_abs_error_difference,candidate_rmse,reference_rmse,rmse_difference,candidate_containment,reference_containment,containment_difference,paired_containment_mcse,mean_se_difference
Aggregate Shock,AR,robust_learned_q_true_d,robust_population_true_d,5000,-0.004119385796301017,0.014212957291137031,0.062480543837892505,0.029309495774070802,0.033171048063821706,0.6918,0.7244,-0.0326,0.007166430041792689,nan
Aggregate Shock,ARIMA-Z,robust_learned_q_true_d,robust_population_true_d,5000,-0.004119385796301017,0.014212957291137031,0.062480543837892505,0.029309495774070802,0.033171048063821706,0.801,0.822,-0.021,0.0060232097598508245,0.009491823734750417
Aggregate Shock,HAC,robust_learned_q_true_d,robust_population_true_d,5000,-0.004119385796301017,0.014212957291137031,0.062480543837892505,0.029309495774070802,0.033171048063821706,0.675,0.7062,-0.0312,0.007308624713243922,0.006655068614520078
Basic,AR,robust_learned_q_true_d,robust_population_true_d,5000,-2.7846616070237262e-05,0.0008359903938239933,0.020841606125427285,0.01971799006402232,0.0011236160614049653,0.832,0.8334,-0.0014,0.00435010260551814,nan
Basic,ARIMA-Z,robust_learned_q_true_d,robust_population_true_d,5000,-2.7846616070237262e-05,0.0008359903938239933,0.020841606125427285,0.01971799006402232,0.0011236160614049653,0.901,0.9008,0.0002,0.0035046324328947736,0.0011725350247959196
Basic,HAC,robust_learned_q_true_d,robust_population_true_d,5000,-2.7846616070237262e-05,0.0008359903938239933,0.020841606125427285,0.01971799006402232,0.0011236160614049653,0.829,0.8274,0.0016,0.004454599498421633,0.0009890468886516626
GFE,AR,robust_learned_q_true_d,robust_population_true_d,5000,0.0008408963707353862,-0.01164571733078024,0.06730480950034169,0.06901831568407192,-0.001713506183730229,0.8158,0.863,-0.0472,0.00638455828674963,nan
GFE,ARIMA-Z,robust_learned_q_true_d,robust_population_true_d,5000,0.0008408963707353862,-0.01164571733078024,0.06730480950034169,0.06901831568407192,-0.001713506183730229,0.8988,0.939,-0.0402,0.004911376214796079,-0.018527675226408444
GFE,HAC,robust_learned_q_true_d,robust_population_true_d,5000,0.0008408963707353862,-0.01164571733078024,0.06730480950034169,0.06901831568407192,-0.001713506183730229,0.7898,0.8156,-0.0258,0.006734682114891372,-0.013540732569687082
GFE + Agg. Shock,AR,robust_learned_q_true_d,robust_population_true_d,5000,0.0292903353875804,0.0796215562623415,0.22003167013853986,0.06432892493478498,0.15570274520375488,0.7114,0.7836,-0.0722,0.007592691340516777,nan
GFE + Agg. Shock,ARIMA-Z,robust_learned_q_true_d,robust_population_true_d,5000,0.0292903353875804,0.0796215562623415,0.22003167013853986,0.06432892493478498,0.15570274520375488,0.8222,0.874,-0.0518,0.0062282509761605155,0.06638014782231624
GFE + Agg. Shock,HAC,robust_learned_q_true_d,robust_population_true_d,5000,0.0292903353875804,0.0796215562623415,0.22003167013853986,0.06432892493478498,0.15570274520375488,0.6848,0.733,-0.0482,0.007812013665598792,0.047972438640762165
Aggregate Shock,AR,robust_population_q_full_dhat,robust_population_true_d,5000,0.016523244361301814,0.014806762146807524,0.04847081648179405,0.029309495774070802,0.019161320707723247,0.5912,0.7244,-0.1332,0.005401609711696644,nan
Aggregate Shock,ARIMA-Z,robust_population_q_full_dhat,robust_population_true_d,5000,0.016523244361301814,0.014806762146807524,0.04847081648179405,0.029309495774070802,0.019161320707723247,0.7206,0.822,-0.1014,0.004840278262531168,0.0048502981753189185
Aggregate Shock,HAC,robust_population_q_full_dhat,robust_population_true_d,5000,0.016523244361301814,0.014806762146807524,0.04847081648179405,0.029309495774070802,0.019161320707723247,0.5804,0.7062,-0.1258,0.0052688161938728665,0.0032285214733091083
Basic,AR,robust_population_q_full_dhat,robust_population_true_d,5000,2.9363900251547737e-05,-7.793480109873874e-05,0.019581347855083423,0.01971799006402232,-0.00013664220893889675,0.8322,0.8334,-0.0012,0.00260788654171206,nan
Basic,ARIMA-Z,robust_population_q_full_dhat,robust_population_true_d,5000,2.9363900251547737e-05,-7.793480109873874e-05,0.019581347855083423,0.01971799006402232,-0.00013664220893889675,0.8994,0.9008,-0.0014,0.0018655573056896866,-0.00012062858933773824
Basic,HAC,robust_population_q_full_dhat,robust_population_true_d,5000,2.9363900251547737e-05,-7.793480109873874e-05,0.019581347855083423,0.01971799006402232,-0.00013664220893889675,0.825,0.8274,-0.0024,0.0023832717001633194,-0.00010582340256257483
