branch,comparison,draws,rms_distance,relative_rms_distance,weight_correlation,max_abs_difference
Basic,checkpoint_5000_vs_20000,5000,0.0011107329860670788,0.03961573835308896,0.9992159816106754,0.0037601637466411373
Basic,checkpoint_10000_vs_20000,10000,0.0006758316193032715,0.024104414775565092,0.9997095877137311,0.001718256756553704
Basic,checkpoint_20000_vs_20000,20000,0.0,0.0,1.0,0.0
Basic,split_half,20000,0.0013527424579732445,0.04823119574692105,0.9988367718738905,0.0034624923509028694
GFE,checkpoint_5000_vs_20000,5000,0.001206084950127684,0.04246596368618651,0.9990989601499598,0.003747084467204085
GFE,checkpoint_10000_vs_20000,10000,0.0006833236270183889,0.024059662072563073,0.9997105516854795,0.0018386860228191103
GFE,checkpoint_20000_vs_20000,20000,0.0,0.0,1.0,0.0
GFE,split_half,20000,0.001370267133846044,0.048216144333570396,0.9988370368721894,0.003666338658261735
Aggregate Shock,checkpoint_5000_vs_20000,5000,0.001579530471950362,0.05292651010970988,0.9986019604567654,0.006621690128439427
Aggregate Shock,checkpoint_10000_vs_20000,10000,0.0008146614491379958,0.02729747110896385,0.9996275686175516,0.00203386689366368
Aggregate Shock,checkpoint_20000_vs_20000,20000,0.0,0.0,1.0,0.0
Aggregate Shock,split_half,20000,0.00160553314570862,0.053774020992109366,0.9985539581652931,0.004027230442078495
GFE + Agg. Shock,checkpoint_5000_vs_20000,5000,0.0016128886054548697,0.053214015595520386,0.9985859561659667,0.006362203605482052
GFE + Agg. Shock,checkpoint_10000_vs_20000,10000,0.0007913606150673472,0.02610935186066248,0.9996591230551126,0.0019377248880552457
GFE + Agg. Shock,checkpoint_20000_vs_20000,20000,0.0,0.0,1.0,0.0
GFE + Agg. Shock,split_half,20000,0.0015731714392938443,0.051863509763562625,0.9986542969916389,0.0038687765550333326
