branch,variant,family,n,median_rms_weight,median_max_abs_weight,median_effective_abs_count,median_rms_distance_reference,q90_rms_distance_reference,median_relative_rms_distance_reference,median_weight_correlation_reference,max_abs_mean_weight,max_abs_own_constraint_error,median_true_d_constraint
Aggregate Shock,robust_full_empirical,Robust SIV,5000,0.030156622177078603,0.13776143451737036,22.977510155252556,0.01197562752506205,0.01791855148632889,0.4012763175709338,0.9219278443440571,9.063045098980869e-18,8.881784197001252e-16,0.9457290025745941
Aggregate Shock,robust_learned_q_true_d,Robust SIV,5000,0.03111236159935435,0.14878121844276598,21.057385599801552,0.00882507563547425,0.01352993199664478,0.29570841660506086,0.9590418947717783,1.161202653306924e-17,8.881784197001252e-16,1.0
Aggregate Shock,robust_population_q_full_dhat,Robust SIV,5000,0.0291861490744473,0.1444313915144434,19.618562430034025,0.0037062996209515503,0.00421070714488613,0.12418975628605194,0.9925885467623624,5.09796286817674e-18,5.551115123125783e-16,0.9730239800338925
Aggregate Shock,robust_population_true_d,Robust SIV,5000,0.0298438432588167,0.1488103601253049,18.94250062668378,0.0,0.0,0.0,1.0,1.4161007967157608e-19,2.220446049250313e-16,1.0000000000000002
Aggregate Shock,robust_reported_simulation,Robust SIV,5000,0.028348917916489448,0.1210578798870436,24.688501525170622,0.0153613612466534,0.022110420064542072,0.5147246322611367,0.8657710491369033,1.0337535816025057e-17,8.881784197001252e-16,0.8331631034187879
Aggregate Shock,tsls_full_dhat,TSLS,5000,0.022868268960180252,0.08860613772442275,25.838119355003126,0.0136000713879546,0.019728028119956702,0.48527988129926536,0.876305799045038,2.9738116731030977e-18,4.440892098500626e-16,0.7164337398244236
Aggregate Shock,tsls_learning_dhat,TSLS,5000,0.0213616731344304,0.07809595070184715,27.175411724493262,0.016437078785869752,0.023191536971866194,0.5865104244363224,0.8137428605013511,2.5489814340883697e-18,4.440892098500626e-16,0.6203237374469346
Aggregate Shock,tsls_true_d,TSLS,5000,0.0280252116604184,0.1411788778408812,17.581190712401277,0.0,0.0,0.0,1.0,1.1328806373726086e-18,2.220446049250313e-16,1.0000000000000002
Basic,robust_full_empirical,Robust SIV,5000,0.02962868755806465,0.13945431257728313,20.830064009167835,0.010587918797610549,0.014946412200271502,0.3776319115857813,0.9341141608883587,8.779824939637718e-18,8.881784197001252e-16,0.9862337484911301
Basic,robust_learned_q_true_d,Robust SIV,5000,0.02978502986775365,0.1413134282527508,20.550392587228757,0.0101091835297645,0.01460621582345843,0.36055719484531557,0.940589040885532,9.912705577010326e-18,8.881784197001252e-16,1.0
