method,config,T0,T1,branch,arm,severity,estimator,n,coverage,mean_bias,mean_abs_bias,rmse,mean_se,mean_direct_shock_component,mean_iv_moment_bias_ratio,mean_weight_corr,cap_bound_fraction
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,SIV,1000,0.875,nan,nan,nan,nan,0.0,-0.00010648135349558603,0.8443775579349695,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,TSLS,1000,0.861,nan,nan,nan,nan,0.0,-0.00022484494446466918,0.8443775579349695,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,SIV,1000,0.875,nan,nan,nan,nan,1.7411176124622406e-07,-0.00010642068130397426,0.8443657912717016,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,TSLS,1000,0.821,nan,nan,nan,nan,0.008396482921170992,0.008171637976706314,0.8443657912717016,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,SIV,1000,0.875,nan,nan,nan,nan,3.8506741516856245e-07,-0.00010634180597396022,0.8443509702709427,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,TSLS,1000,0.683,nan,nan,nan,nan,0.019591793482732316,0.019366948538267644,0.8443509702709427,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,SIV,1000,0.875,nan,nan,nan,nan,5.286521305284158e-07,-0.00010628442591300974,0.8443404714662824,0.0
AR,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,TSLS,1000,0.597,nan,nan,nan,nan,0.02798827640390331,0.027763431459438638,0.8443404714662824,0.0
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,SIV,1000,0.875,nan,nan,nan,nan,0.0,-0.00010648135349558603,0.8443775579349695,0.0
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,TSLS,1000,0.861,nan,nan,nan,nan,0.0,-0.00022484494446466918,0.8443775579349695,0.0
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,SIV,1000,0.876,nan,nan,nan,nan,3.319228524287229e-05,-7.680871579362351e-05,0.8444178326847285,0.0
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,TSLS,1000,0.814,nan,nan,nan,nan,0.0020083326536059517,0.0017834877091412805,0.8444178326847285,0.0
AR,finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,SIV,1000,0.876,nan,nan,nan,nan,7.11726228170421e-05,-4.660033582128399e-05,0.8444866568885955,0.0
