sample,n_units,h_z_corr,theta_y_scale_multiplier,config,T0,T1,branch,method,n_pairs,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_error_siv_minus_tsls,mcse_delta_abs_error,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,delta_coverage_siv_minus_tsls,mcse_delta_coverage
full,51,0.5,3.0,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.4803991710288936,0.0066651803354857335,-0.47373399069340777,0.5649656857487118,-1.0926708211523408,0.5640498042694859,17.864207786796673,0.08091371232787727,-17.783294074468795,0.193,0.017206017756792157
full,51,0.5,3.0,finite_length,5,10,Basic,ARIMA-Z,1000,-0.0005931974966007576,-0.0007998765438657966,-0.00020667904726503906,0.0002492737159903242,0.0010835631600893917,0.00022576595298405523,0.020946011908347162,0.02282739807570748,0.0018813861673603188,0.004,0.008488583866349916
full,51,0.5,3.0,finite_length,5,10,GFE,ARIMA-Z,1000,0.009942882117239218,-0.0001473649329974629,-0.01009024705023668,0.014064785461592715,-0.25330627893915625,0.010071269994073944,0.4463078174763395,0.06682096512453305,-0.37948685235180646,0.049,0.014927217484240718
full,51,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.2801913464716107,0.03737971353737062,-0.24281163293424005,0.09056733801289163,-0.4155181614843191,0.08921992518506773,2.874612028555676,0.18477832439239678,-2.6898337041632794,0.006,0.01685966334919675
full,51,0.5,3.0,longer_length,30,60,Aggregate Shock,ARIMA-Z,1000,0.4188639265804737,-0.0004086696419598288,-0.41927259622243357,0.004679770008512603,-0.4048199545899683,0.004532981615520219,0.44384487027088554,0.019027852354911598,-0.4248170179159739,0.631,0.01615859214474145
full,51,0.5,3.0,longer_length,30,60,Basic,ARIMA-Z,1000,1.5015835883054774e-05,0.00020543532687563925,0.00019041949099258447,0.0006131847711885772,0.01054459623911908,0.0004144456051133519,0.006660083405060965,0.020542965535345604,0.01388288213028464,-0.002,0.011050706679580184
full,51,0.5,3.0,longer_length,30,60,GFE,ARIMA-Z,1000,-0.0017226829629774468,0.0003121878772625166,0.0020348708402399634,0.0026574290670454657,-0.05816380106550712,0.001595166633794174,0.08379081075711763,0.010884631205320456,-0.07290617955179717,0.009,0.011876870802532968
full,51,0.5,3.0,longer_length,30,60,GFE + Agg. Shock,ARIMA-Z,1000,0.42125644655401207,0.002190636946477082,-0.419065809607535,0.005341166434100063,-0.4105010810484439,0.005207352215187354,0.45385104487902783,0.015288141527444146,-0.4385629033515837,0.553,0.01742109337827263
restricted,49,0.5,3.0,finite_length,5,10,Aggregate Shock,ARIMA-Z,1000,0.35659934507249336,0.01242829118796244,-0.3441710538845309,0.084719422761907,-0.6972648094879559,0.08219664869216557,2.703191765948008,0.06622186138077171,-2.6369699045672363,0.234,0.01713293721279389
restricted,49,0.5,3.0,finite_length,5,10,Basic,ARIMA-Z,1000,0.0011162125130108993,0.001016121471678068,-0.00010009104133283131,0.00027153475790053555,0.001134580018655253,0.00025655866970115775,0.02361862971046642,0.026032084351492485,0.0024134546410260645,0.009,0.008184496684951739
restricted,49,0.5,3.0,finite_length,5,10,GFE,ARIMA-Z,1000,0.019795946262067314,-1.3798899868926462e-05,-0.019809745161936242,0.01767189468455929,-0.32338081664375284,0.013264022877010461,0.5664456330069622,0.09046302932158307,-0.4759826036853791,0.056,0.014801455437999435
restricted,49,0.5,3.0,finite_length,5,10,GFE + Agg. Shock,ARIMA-Z,1000,0.8799979008762926,0.060506590531478596,-0.819491310344814,0.3018842885632835,-1.015679276314424,0.3010460561840891,9.585562683230513,0.24664420799252793,-9.338918475237985,0.174,0.017029797826574867
restricted,49,0.5,3.0,longer_length,30,60,Aggregate Shock,ARIMA-Z,1000,0.43185381447987187,0.002326013637549808,-0.429527800842322,0.00461661899265955,-0.4144379303309688,0.004461949035035174,0.4556982415936751,0.02415265215830298,-0.43154558943537213,0.652,0.015592919519420958
restricted,49,0.5,3.0,longer_length,30,60,Basic,ARIMA-Z,1000,1.8572646448898888e-05,-0.00030918212924734603,-0.0003277547756962449,0.0005524115378452532,0.009470599337146028,0.00037252233660017213,0.006737924609924978,0.018961417521019763,0.012223492911094785,-0.007,0.011361341473614818
restricted,49,0.5,3.0,longer_length,30,60,GFE,ARIMA-Z,1000,-0.0021887933351072155,-9.490686654965819e-05,0.0020938864685575574,0.0035614014983876563,-0.08188050003591656,0.002133258522181635,0.11334405271000925,0.011854691445636448,-0.1014893612643728,0.02,0.012237228025568115
restricted,49,0.5,3.0,longer_length,30,60,GFE + Agg. Shock,ARIMA-Z,1000,0.4279686824887315,0.006983443783216313,-0.4209852387055152,0.005838746522700518,-0.41585594303727347,0.005555525461840155,0.4666162118269804,0.0204719548668016,-0.4461442569601788,0.514,0.017149288559532086
