sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
full,51,0.5,3.0,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.683,nan,nan,nan,nan,nan,0.7622738410354368,0.00573783752229048,0.00666518036143254,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.501,nan,nan,nan,nan,nan,0.7622738410354368,0.4832267474167193,0.4803991710288902,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,Basic,SIV,1000,0.832,nan,nan,nan,nan,nan,0.9348370242970168,0.0,-0.000799876544121975,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,Basic,TSLS,1000,0.844,nan,nan,nan,nan,nan,0.9348370242970168,0.0,-0.0005931974966007495,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,GFE,SIV,1000,0.814,nan,nan,nan,nan,nan,0.9438365250796112,0.0,-0.0001473649329876281,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,GFE,TSLS,1000,0.818,nan,nan,nan,nan,nan,0.9438365250796112,0.0,0.00994288211723925,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.681,nan,nan,nan,nan,nan,0.7699744200253353,0.03700025194081166,0.03737971353739087,2.306004135204166
full,51,0.5,3.0,AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.647,nan,nan,nan,nan,nan,0.7699744200253353,0.2727177516658917,0.28019134647161137,2.306004135204166
full,51,0.5,3.0,AR,longer_length,30,60,Aggregate Shock,SIV,1000,0.819,nan,nan,nan,nan,nan,0.4719695628392376,-0.0003385851687230251,-0.000408669641959729,1.9599639845400536
full,51,0.5,3.0,AR,longer_length,30,60,Aggregate Shock,TSLS,1000,0.121,nan,nan,nan,nan,nan,0.4719695628392376,0.4187340791772613,0.4188639265804737,1.9599639845400536
full,51,0.5,3.0,AR,longer_length,30,60,Basic,SIV,1000,0.927,nan,nan,nan,nan,nan,0.3502919000736102,0.0,0.00020543532687557618,1.9599639845400536
full,51,0.5,3.0,AR,longer_length,30,60,Basic,TSLS,1000,0.927,nan,nan,nan,nan,nan,0.3502919000736102,0.0,1.5015835883041062e-05,1.9599639845400536
full,51,0.5,3.0,AR,longer_length,30,60,GFE,SIV,1000,0.921,nan,nan,nan,nan,nan,0.6471437405686498,0.0,0.000312187877262539,1.9599639845400536
full,51,0.5,3.0,AR,longer_length,30,60,GFE,TSLS,1000,0.866,nan,nan,nan,nan,nan,0.6471437405686498,0.0,-0.0017226829629774412,1.9599639845400536
