anchor_mode,endpoint_role,midpoint_role,branch,estimator,method,n_pairs,delta_mean_bias_endpoint_minus_midpoint,mcse_delta_mean_bias,delta_mean_abs_error_endpoint_minus_midpoint,mcse_delta_mean_abs_error,rmse_midpoint,rmse_endpoint,delta_rmse_endpoint_minus_midpoint,mcse_delta_rmse,coverage_midpoint,coverage_endpoint,delta_coverage_endpoint_minus_midpoint,mcse_delta_coverage
fixed_template,restricted_tsls,restricted_midpoint,Basic,TSLS,ARIMA-Z,1000,-1.4432899320127034e-18,9.962904061975619e-18,-4.107825191113079e-18,9.962160980440411e-18,0.023618629710466427,0.023618629710466417,-1.0408340855860843e-17,9.729041800756029e-18,0.871,0.871,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Basic,TSLS,HAC,1000,1.2878587085651817e-17,9.326931760472517e-18,-5.3290705182007515e-18,9.334305152171482e-18,0.023618629710466417,0.02361862971046641,-6.938893903907228e-18,9.051533390839066e-18,0.824,0.824,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Basic,TSLS,AR,1000,,,,,,,,,0.834,0.834,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Basic,SIV,ARIMA-Z,1000,9.913777862413653e-09,2.3125457218623012e-08,1.1896011961654018e-07,2.2819278630323197e-08,0.026032084352086034,0.02603223142032064,1.4706823460441942e-07,4.002355643087739e-08,0.88,0.88,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Basic,SIV,HAC,1000,9.913777875181217e-09,2.3125457218635655e-08,1.1896011961154418e-07,2.281927863036763e-08,0.026032084352086034,0.026032231420320646,1.4706823461135832e-07,4.002355642601598e-08,0.835,0.835,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Basic,SIV,AR,1000,,,,,,,,,0.84,0.84,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,GFE,TSLS,ARIMA-Z,1000,1.7763568394002505e-17,1.140505097754199e-17,1.3766765505351941e-17,1.1410579936033789e-17,0.5664456330069622,0.5664456330069622,0.0,2.4597694074646456e-17,0.809,0.809,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,GFE,TSLS,HAC,1000,1.8318679906315084e-17,1.047893144826678e-17,-3.4416913763379853e-18,1.0494382170680722e-17,0.566445633006962,0.566445633006962,0.0,1.1317141250275363e-17,0.802,0.802,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,GFE,TSLS,AR,1000,,,,,,,,,0.811,0.811,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,GFE,SIV,ARIMA-Z,1000,-6.330299977048703e-06,5.374067736545837e-06,-8.946323276098233e-06,5.370327263910916e-06,0.09046302932158667,0.0904707570233189,7.727701732226921e-06,1.9108963056327486e-05,0.865,0.864,-0.001,0.0010000000000000002
