anchor_mode,target_role,midpoint_role,branch,estimator,n,mean_weight_correlation_with_midpoint,median_weight_correlation_with_midpoint,max_weight_correlation_with_midpoint,mean_weight_rms_distance,median_weight_rms_distance,max_weight_rms_distance,mean_weight_relative_rms_distance,median_weight_relative_rms_distance,max_weight_relative_rms_distance,mean_weight_max_abs_difference,median_weight_max_abs_difference,max_weight_max_abs_difference
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,SIV,1000,0.9999825529552513,0.9999992559322967,0.9999999998931064,9.320165187844809e-05,3.495501998561367e-05,0.0014184468365471665,0.0032845359011483715,0.00124997031022466,0.045507556973853336,0.00023729812250026695,8.753163206922469e-05,0.004185768505730506
fixed_template,restricted_robust,restricted_midpoint,Aggregate Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,Basic,SIV,1000,0.9999999959185837,0.9999999976485983,0.9999999999755064,2.358205937478754e-06,1.9422601127686783e-06,1.0100140112329353e-05,8.27183236015166e-05,7.046119977454129e-05,0.00030856603427056113,5.931898418569101e-06,4.841319233306676e-06,3.3976204687348466e-05
fixed_template,restricted_robust,restricted_midpoint,Basic,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE,SIV,1000,0.9999993362905163,0.99999978004888,0.9999999999937631,2.5111832035810903e-05,1.851272067096394e-05,0.00017888000724663897,0.000887958367208485,0.0006726346017288612,0.005370838864544143,6.362510967103118e-05,4.67381160804089e-05,0.00044911735062432706
fixed_template,restricted_robust,restricted_midpoint,GFE,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,SIV,1000,0.9999950948148266,0.9999995137597055,0.9999999998900168,5.458719392583983e-05,2.7627831235524658e-05,0.0007023792528608514,0.0019480098656430918,0.0010142680018295218,0.024027698326598224,0.00014490728631551535,7.426137992376687e-05,0.0017849370682534553
fixed_template,restricted_robust,restricted_midpoint,GFE + Agg. Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Aggregate Shock,SIV,1000,0.9999952213469394,0.9999998436028836,0.9999999999672672,4.6938946839739565e-05,1.5945509699965432e-05,0.0007924973205104822,0.0016516080458769044,0.0005749934734387938,0.025425427330464243,0.00011975222374465518,3.983157577765271e-05,0.0022751438825716367
fixed_template,restricted_tsls,restricted_midpoint,Aggregate Shock,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,Basic,SIV,1000,0.999999999516613,0.9999999997224069,0.9999999999968268,8.119478562685229e-07,6.609530957952268e-07,3.332424701495346e-06,2.847944678898488e-05,2.4247879629320622e-05,0.00010494212066237671,2.0416813067056534e-06,1.6803310069878757e-06,1.1033413972731665e-05
fixed_template,restricted_tsls,restricted_midpoint,Basic,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,GFE,SIV,1000,0.9999996576165656,0.9999999067513541,0.9999999999950115,1.7414609861450047e-05,1.231777342213963e-05,0.00013123873182473457,0.0006156020255894357,0.00043606427267268375,0.003940418452946002,4.4108755544420056e-05,3.0677291474435955e-05,0.00032813968220475305
fixed_template,restricted_tsls,restricted_midpoint,GFE,TSLS,1000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_template,restricted_tsls,restricted_midpoint,GFE + Agg. Shock,SIV,1000,0.9999982706203002,0.9999998001627156,0.9999999999262899,3.3285173709453374e-05,1.7481440186979045e-05,0.0004102946456992181,0.001189973872432268,0.0006529917578842078,0.014035773311533694,8.793225796725223e-05,4.632954352702147e-05,0.0010363913074264743
