config,T0,T1,branch,estimator,n,mean_bias_component_total,rmse_bias_component_total,mean_abs_bias_component_total,mean_bias_component_gfe,rmse_bias_component_gfe,mean_abs_bias_component_gfe,mean_bias_component_shock,rmse_bias_component_shock,mean_abs_bias_component_shock,mean_bias_component_eps,rmse_bias_component_eps,mean_abs_bias_component_eps
finite_length,5,10,Aggregate Shock,SIV,1000,0.012428291187400572,0.06622186138298798,0.042122569719650636,0.0,0.0,0.0,0.011094584899411522,0.06225326984740851,0.03449322254091925,0.0013337062879890471,0.030580518990464683,0.019428866167104937
finite_length,5,10,Aggregate Shock,TSLS,1000,0.3565993450724941,2.7031917659479863,0.7393873792072093,0.0,0.0,0.0,0.3631203007158066,2.574547306225989,0.7321609872359113,-0.006520955643312449,0.1542098796919645,0.025831880538959042
finite_length,5,10,Basic,SIV,1000,0.0010161214696911452,0.02603208432141825,0.018203792578262216,0.0,0.0,0.0,0.0,0.0,0.0,0.0010161214696911447,0.026032084321418247,0.018203792578262216
finite_length,5,10,Basic,TSLS,1000,0.001116212513010899,0.02361862971046641,0.017069212562017367,0.0,0.0,0.0,0.0,0.0,0.0,0.0011162125130108984,0.02361862971046641,0.017069212562017367
finite_length,5,10,GFE,SIV,1000,-1.3798899967092076e-05,0.09046302931984146,0.04961722585595103,-0.0010245383555052097,0.08055337138548303,0.04477961188266075,0.0,0.0,0.0,0.001010739455538117,0.027023358333898635,0.0184591533226542
finite_length,5,10,GFE,TSLS,1000,0.019795946262067345,0.5664456330069619,0.3729980424998014,0.018607778105260573,0.5644897084479048,0.3727068921197001,0.0,0.0,0.0,0.0011881681568067677,0.02441414025979984,0.01726686004941589
finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.060506590531514706,0.24664420799222445,0.1449579993925742,-0.007332635367937156,0.1522910501902945,0.08990492790360931,0.0666872091927478,0.19894418680005058,0.1012732231463671,0.001152016706704063,0.028767806680821267,0.019309796024698882
finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.8799979008763746,9.585562683232595,1.1606372757071184,-0.4521606980527946,15.107508869668925,0.9214879681614955,1.2322179904746426,19.93942936987947,1.383168127697691,0.09994060845452603,3.0325801324603736,0.121687596489897
longer_length,30,60,Aggregate Shock,SIV,1000,0.0023260136375497227,0.024152652158303308,0.017981800704355216,0.0,0.0,0.0,0.002224760692549869,0.018545262212464893,0.012492792006298707,0.0001012529449998521,0.0151309350302522,0.01201224180112452
longer_length,30,60,Aggregate Shock,TSLS,1000,0.4318538144798718,0.45569824159367506,0.43241973103532394,0.0,0.0,0.0,0.4317588862870161,0.4555650936928067,0.43235653947109215,9.492819285572097e-05,0.0050999635969247795,0.004044333447646149
longer_length,30,60,Basic,SIV,1000,-0.0003091821292473542,0.01896141752101978,0.014864869860824043,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030918212924735297,0.01896141752101978,0.014864869860824045
longer_length,30,60,Basic,TSLS,1000,1.8572646448876587e-05,0.0067379246099249866,0.005394270523678065,0.0,0.0,0.0,0.0,0.0,0.0,1.8572646448876933e-05,0.0067379246099249866,0.005394270523678065
longer_length,30,60,GFE,SIV,1000,-9.490686654966201e-05,0.011854691445636431,0.009196616211683648,-3.426975019374615e-05,0.0037532992626945305,0.00255584681090456,0.0,0.0,0.0,-6.06371163559164e-05,0.011286958684808376,0.008791638823477506
longer_length,30,60,GFE,TSLS,1000,-0.002188793335107219,0.1133440527100092,0.09107711624760018,-0.0022178438369063374,0.1132409948018366,0.09131530371447052,0.0,0.0,0.0,2.9050501799118057e-05,0.006744837904642065,0.005402851742720288
longer_length,30,60,GFE + Agg. Shock,SIV,1000,0.0069834437832162555,0.02047195486680159,0.015616742067707641,-4.649250865807905e-06,0.004484974659944121,0.002995015653556988,0.00671581119760404,0.01632767781433968,0.011440964767655,0.000272281836478022,0.012614270808462889,0.009900001215114413
longer_length,30,60,GFE + Agg. Shock,TSLS,1000,0.42796868248873154,0.4666162118269804,0.43147268510498105,-0.0035581988484453698,0.11571847501878796,0.09296851579042584,0.43142380984470186,0.4552239541410186,0.43202116952458786,0.00010307149247501434,0.005095835666992756,0.004044819755431474
