method,config,T0,T1,branch,estimator,n,coverage,mean_bias,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.677,nan,nan,nan,nan,0.7433218813109314,0.011094584899411522,0.012428291187400575,2.306004135204166
AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.467,nan,nan,nan,nan,0.7433218813109314,0.3631203007158066,0.3565993450724942,2.306004135204166
AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.714,nan,nan,nan,nan,0.7462682455918314,0.0666872091927478,0.060506590531514706,2.306004135204166
AR,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.564,nan,nan,nan,nan,0.7462682455918314,1.2322179904746426,0.8799979008763775,2.306004135204166
AR,longer_length,30,60,Aggregate Shock,SIV,1000,0.809,nan,nan,nan,nan,0.3391830490444812,0.002224760692549869,0.0023260136375497227,1.9599639845400536
AR,longer_length,30,60,Aggregate Shock,TSLS,1000,0.122,nan,nan,nan,nan,0.3391830490444812,0.4317588862870161,0.4318538144798718,1.9599639845400536
AR,longer_length,30,60,Basic,SIV,1000,0.915,nan,nan,nan,nan,0.377490987674824,0.0,-0.00030918212924735687,1.9599639845400536
AR,longer_length,30,60,Basic,TSLS,1000,0.921,nan,nan,nan,nan,0.377490987674824,0.0,1.8572646448877655e-05,1.9599639845400536
AR,longer_length,30,60,GFE,SIV,1000,0.93,nan,nan,nan,nan,0.6241642204477962,0.0,-9.490686654965963e-05,1.9599639845400536
AR,longer_length,30,60,GFE,TSLS,1000,0.86,nan,nan,nan,nan,0.6241642204477962,0.0,-0.0021887933351072146,1.9599639845400536
